"Target","Indice","Method","r","Paper_ID"
"Stranger","RT","First-Second",0.575762682265756,"Pt10E1"
"Stranger","RT","Odd-Even",0.641383549351271,"Pt10E1"
"Stranger","ACC","First-Second",0.446335263088487,"Pt10E1"
"Stranger","ACC","Odd-Even",0.494654722737905,"Pt10E1"
"Stranger","d Prime","First-Second",0.268415137045507,"Pt10E1"
"Stranger","d Prime","Odd-Even",0.279587009120148,"Pt10E1"
"Stranger","Efficiency","First-Second",0.666834377415671,"Pt10E1"
"Stranger","Efficiency","Odd-Even",0.748845780175523,"Pt10E1"
"Stranger","ezDDM v","First-Second",0.4038028460997,"Pt10E1"
"Stranger","ezDDM v","Odd-Even",0.462480909463844,"Pt10E1"
"Stranger","ezDDM z","First-Second",0.0502175999842134,"Pt10E1"
"Stranger","ezDDM z","Odd-Even",0.176187949637053,"Pt10E1"
"Stranger","rwDDM v","First-Second",0.133911891451671,"Pt10E1"
"Stranger","rwDDM v","Odd-Even",0.201830953701485,"Pt10E1"
"Stranger","rwDDM z","First-Second",0.0626244058090213,"Pt10E1"
"Stranger","rwDDM z","Odd-Even",0.11944871246709,"Pt10E1"
