"","Target","Indice","Paper_ID","yi","Sample_Size","Trials","Author","Year","Exp"
"1","Close","RT","P0E1",-0.21760493315435,33,60,"Hu et al.",2023,1
"2","Close","RT","P6E1",-1.46098422958445,46,20,"Constable & Knoblich",2020,1
"3","Close","RT","P54E1",-0.170171482674222,31,18,"Schäfer & Frings",2019,1
"4","Close","RT","P54E3",-0.351772233629889,33,24,"Schäfer & Frings",2019,3
"5","Close","RT","Pn4E1",-0.555798223043027,29,30,"Golubickis & Macrae",2021,1
"6","Close","RT","Pn13E1",-0.942834684765605,13,60,"Navon & Makovski",2021,1
"7","Close","RT","Pn13E3",-0.103660296630951,28,60,"Navon & Makovski",2021,3
"8","Close","RT","Pn13E4",-0.194865328882011,27,60,"Navon & Makovski",2021,4
"9","Close","RT","Pn16E1",-0.934791020672002,20,50,"Svensson et al.",2022,1
"10","Close","RT","Pn16E2",-0.195840362023123,24,100,"Svensson et al.",2022,2
"11","Close","RT","Pn16E3",-0.576096652175669,24,100,"Svensson et al.",2022,3
"12","Close","RT","Pn23E1",-0.467277913992568,105,60,"Xu et al.",2021,1
"13","Close","RT","P95E1",-0.346529572073062,18,56,"Woźniak et al.",2018,1
"14","Close","RT","P95E2",-0.643098346781115,18,60,"Woźniak et al.",2018,2
"15","Close","RT","Ps3E1",-0.923825949775767,24,40,"Sui (unpublished)",2014,1
"16","Close","RT","Ps4E1",-0.708875820252756,20,40,"Sui (unpublished)",2015,1
"17","Close","RT","Ps4E2",-0.150610146772883,21,40,"Sui (unpublished)",2015,2
"18","Close","RT","Ps5E1",-0.447460120849694,24,60,"Sui et al.",2014,1
"19","Close","RT","Ps5E2",-0.130596108155419,18,60,"Sui et al.",2014,2
"20","Close","RT","Ps5E3",-1.867333377178,22,60,"Sui et al.",2014,3
"21","Close","RT","Ps5E4",-0.870306731949286,20,60,"Sui et al.",2014,4
"22","Close","RT","Pt2E1",-1.02465830920958,142,20,"Hobbs et al.",2023,1
"23","Close","RT","Pt3E1",-0.665293550929705,108,60,"Liang et al.",2021,1
"24","Close","RT","Pt9E1",-0.0897900767360407,18,60,"Woźniak & Knoblich",2022,1
"25","Close","RT","Pt9E2",-0.0852757187941292,18,60,"Woźniak & Knoblich",2022,2
"26","Close","RT","Pt9E3",0.148821660132245,18,60,"Woźniak & Knoblich",2022,3
"27","Close","RT","Pt18E1",-0.938964964132109,20,160,"Sui et al.",2023,1
"28","Close","RT","P19E1",-0.984584311859715,17,60,"Bukowski et al.",2021,1
"29","Close","RT","P19E2",-0.995665949206516,34,60,"Bukowski et al.",2021,2
"30","Close","RT","P34E1",-0.2648032875854,29,12,"Kolvoort et al.",2020,1
"31","Close","RT","Pt27E1",-1.56980452692318,32,40,"Martínez-Pérez et al.",2024,2
"32","Close","RT","Pt13E1",-0.24431538460964,46,20,"Feldborg et al.",2021,1
"33","Close","RT","Pt28E1",-1.50760861627065,30,60,"Amodeo et al.",2024,1
"34","Close","RT","Pt7E1",-0.985645228576972,286,60,"Perrykkad & Hohwy",2022,1
"35","Close","ACC","P0E1",0.29182962895891,33,60,"Hu et al.",2023,1
"36","Close","ACC","P6E1",1.0658965585937,46,20,"Constable & Knoblich",2020,1
"37","Close","ACC","P54E1",0.111383558001024,31,18,"Schäfer & Frings",2019,1
"38","Close","ACC","P54E3",0.387788450217336,33,24,"Schäfer & Frings",2019,3
"39","Close","ACC","Pn4E1",0.730651668010488,29,30,"Golubickis & Macrae",2021,1
"40","Close","ACC","Pn13E1",2.13157508685102,13,60,"Navon & Makovski",2021,1
"41","Close","ACC","Pn13E3",0.201905364883319,28,60,"Navon & Makovski",2021,3
"42","Close","ACC","Pn13E4",0.259338810967792,27,60,"Navon & Makovski",2021,4
"43","Close","ACC","Pn16E1",1.62785350768628,20,50,"Svensson et al.",2022,1
"44","Close","ACC","Pn16E2",1.04178699579874,24,100,"Svensson et al.",2022,2
"45","Close","ACC","Pn16E3",1.05320333931002,24,100,"Svensson et al.",2022,3
"46","Close","ACC","Pn23E1",0.722787084056733,105,60,"Xu et al.",2021,1
"47","Close","ACC","P95E1",0.0284688463527109,18,56,"Woźniak et al.",2018,1
"48","Close","ACC","P95E2",0.759376656810817,18,60,"Woźniak et al.",2018,2
"49","Close","ACC","Ps3E1",1.13524816364249,24,40,"Sui (unpublished)",2014,1
"50","Close","ACC","Ps4E1",0.818743175254023,20,40,"Sui (unpublished)",2015,1
"51","Close","ACC","Ps4E2",-0.148788728823373,21,40,"Sui (unpublished)",2015,2
"52","Close","ACC","Ps5E1",-0.0457497848820557,24,60,"Sui et al.",2014,1
"53","Close","ACC","Ps5E2",0.0118394726077348,18,60,"Sui et al.",2014,2
"54","Close","ACC","Ps5E3",4.40592304354905,22,60,"Sui et al.",2014,3
"55","Close","ACC","Ps5E4",2.97145426278735,20,60,"Sui et al.",2014,4
"56","Close","ACC","Pt2E1",0.633597495597523,142,20,"Hobbs et al.",2023,1
"57","Close","ACC","Pt3E1",0.533568385103419,108,60,"Liang et al.",2021,1
"58","Close","ACC","Pt9E1",0.598060153605833,18,60,"Woźniak & Knoblich",2022,1
"59","Close","ACC","Pt9E2",0.103859201081778,18,60,"Woźniak & Knoblich",2022,2
"60","Close","ACC","Pt9E3",-0.240888379638827,18,60,"Woźniak & Knoblich",2022,3
"61","Close","ACC","Pt18E1",0.722905030389533,20,160,"Sui et al.",2023,1
"62","Close","ACC","P19E1",1.09822148280519,17,60,"Bukowski et al.",2021,1
"63","Close","ACC","P19E2",1.39899791716823,34,60,"Bukowski et al.",2021,2
"64","Close","ACC","P34E1",-0.21570467594252,29,12,"Kolvoort et al.",2020,1
"65","Close","ACC","Pt27E1",0.917370223025636,32,40,"Martínez-Pérez et al.",2024,2
